,IForest,OCSVM,ABOD,CBLOF,COF,AOM,COPOD,ECOD,FeatureBagging,HBOS,KNN,LMDD,LODA,LOF,LSCP,MAD,MCD,PCA,SOD,SOS,VAE,DeepSVDD,AutoEncoder,SOGAAL,MOGAAL,XGBOD
1_ALOI,0.4965812805276538,0.5328480388638519,0.6095671258957611,0.5075759579025306,0.6355833922007866,,0.4751793411126515,0.5123961634790098,0.6294448075128721,0.4780012012738035,0.55563446522539,0.498864834031558,0.5495940978924823,0.6296525749946169,,,0.5039230278143995,0.530071509789626,0.5188331778225213,0.6612936736690604,,0.4903879207763704,0.5321302966541879,0.5177660084844685,0.4889977674439689,0.7105213452755564
2_annthyroid,0.8263874999999999,0.60606875,,,,,,,,,,,,,,,,,,,,,,,,
6_cardio,,,,,,,,,,,,,,,,,,,,,,,,,,
23_mammography,,,,,,,,,,,,,,,,,,,,,,,,,,
25_musk,,,,,,,,,,,,,,,,,,,,,,,,,,
30_satellite,,,,,,,,,,,,,,,,,,,,,,,,,,
31_satimage-2,,,,,,,,,,,,,,,,,,,,,,,,,,
32_shuttle,,,,,,,,,,,,,,,,,,,,,,,,,,
47_yeast,,,,,,,,,,,,,,,,,,,,,,,,,,
